N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"77,300",700,-0.90%,100,"4,614,642","5,969,783",51.82,"5,186,040",14.98,9.99,
2,SK하이닉스,"122,500",500,+0.41%,"5,000","891,803","728,002",48.78,"1,202,628",11.07,9.53,
3,삼성바이오로직스,"939,000","16,000",-1.68%,"2,500","621,289","66,165",11.12,"29,402",151.35,N/A,
4,NAVER,"374,000","10,500",-2.73%,100,"614,345","164,263",56.34,"330,013",3.70,15.22,
5,삼성전자우,"70,500",100,+0.14%,100,"580,135","822,887",74.55,"275,952",13.67,N/A,
6,카카오,"114,000","3,500",-2.98%,100,"508,195","445,785",30.86,"1,126,170",44.88,2.70,
7,LG화학,"671,000","26,000",-3.73%,"5,000","473,675","70,592",47.07,"169,639",17.48,2.93,
8,삼성SDI,"658,000","22,000",-3.24%,"5,000","452,471","68,765",45.84,"172,240",41.27,4.54,
9,현대차,"206,000","3,500",-1.67%,"5,000","440,156","213,668",28.60,"245,192",10.44,2.04,
10,기아,"83,400","1,200",-1.42%,"5,000","338,073","405,363",35.24,"408,229",7.56,5.05,
11,카카오뱅크,"62,600","1,300",-2.03%,"5,000","297,450","475,159",6.53,"325,757",202.59,5.08,
12,셀트리온,"206,500",500,-0.24%,"1,000","284,861","137,947",20.34,"364,798",51.53,16.68,
13,POSCO,"283,500","8,500",-2.91%,"5,000","247,175","87,187",52.62,"149,366",4.25,3.61,
14,KB금융,"57,000","1,400",-2.40%,"5,000","237,011","415,808",69.62,"401,809",5.45,8.53,
15,크래프톤,"480,000","14,500",-2.93%,100,"235,042","48,967",30.35,"56,735",37.62,61.86,
16,현대모비스,"242,000","4,000",-1.63%,"5,000","228,867","94,573",34.41,"87,977",9.74,4.66,
17,카카오페이,"172,000","5,000",-2.82%,500,"226,776","131,847",42.60,"116,086",-855.72,-17.97,
18,삼성물산,"116,000","2,000",-1.69%,100,"216,789","186,887",15.20,"70,583",13.20,3.81,
19,SK바이오사이언스,"275,000","5,000",+1.85%,500,"210,375","76,500",6.09,"583,290",105.89,13.25,
20,LG전자,"126,500","3,000",-2.32%,"5,000","207,014","163,648",29.52,"451,144",18.25,13.23,
21,SK이노베이션,"222,500","7,500",-3.26%,"5,000","205,736","92,466",23.99,"215,334","-6,544.12",-13.58,
22,신한지주,"37,900",500,-1.30%,"5,000","195,791","516,600",60.34,"477,910",5.03,8.20,
23,SK,"261,500","2,500",-0.95%,200,"183,992","70,360",19.94,"54,329",30.56,1.11,
24,LG생활건강,"1,125,000","17,000",-1.49%,"5,000","175,705","15,618",43.49,"12,073",23.41,17.92,
25,엔씨소프트,"661,000","9,000",-1.34%,500,"145,116","21,954",44.50,"53,184",40.81,20.83,
26,HMM,"28,150",650,-2.26%,"5,000","137,665","489,039",10.24,"1,501,988",3.55,8.93,
27,한국전력,"21,300",450,-2.07%,"5,000","136,738","641,964",14.70,"669,939",-12.55,2.91,
28,하이브,"329,500","1,500",-0.45%,500,"136,259","41,353",16.54,"57,039",117.22,12.52,
29,삼성생명,"67,400",900,-1.32%,500,"134,800","200,000",12.40,"113,573",8.62,3.53,
30,SK텔레콤,"61,000",100,+0.16%,100,"133,488","218,833",43.90,"411,731",9.46,6.44,
31,하나금융지주,"44,100",750,-1.67%,"5,000","132,407","300,242",67.42,"402,082",4.12,8.96,
32,삼성전기,"175,000","4,500",-2.51%,"5,000","130,714","74,694",30.67,"220,913",13.45,10.92,
33,LG,"81,600",700,-0.85%,"5,000","128,358","157,301",36.34,"200,247",5.38,7.50,
34,삼성에스디에스,"158,500","1,500",-0.94%,500,"122,644","77,378",11.22,"22,201",18.05,6.71,
35,SK아이이테크놀로지,"166,500","5,000",-2.92%,"1,000","118,710","71,298",11.54,"108,307",109.47,11.00,
36,KT&G,"84,700",100,-0.12%,"5,000","116,287","137,292",35.40,"138,836",9.77,13.22,
37,두산중공업,"21,700",0,0.00%,"5,000","113,040","520,921",8.67,"1,799,724",62.18,-37.20,
38,포스코케미칼,"144,000","1,500",-1.03%,500,"111,547","77,463",6.31,"74,723",80.40,2.96,
39,아모레퍼시픽,"176,500","3,000",-1.67%,500,"103,240","58,493",31.00,"58,017",68.07,0.78,
40,넷마블,"120,000","2,000",+1.69%,100,"103,144","85,954",22.81,"71,150",44.38,6.35,
41,삼성화재,"213,500","2,000",-0.93%,500,"101,145","47,375",48.59,"21,629",9.23,4.96,
42,대한항공,"28,850",350,-1.20%,"5,000","100,346","347,821",11.76,"398,275",13.55,-7.22,
43,S-Oil,"87,200","1,600",-1.80%,"2,500","98,172","112,583",77.76,"82,013",8.40,-13.07,
44,우리금융지주,"13,400",150,-1.11%,"5,000","97,560","728,061",30.03,"690,151",4.10,5.87,
45,고려아연,"513,000","11,000",-2.10%,"5,000","96,803","18,870",18.20,"15,230",12.83,8.37,
46,KT,"32,100",250,-0.77%,"5,000","83,817","261,112",43.58,"323,582",8.20,4.76,
47,기업은행,"11,200",50,-0.44%,"5,000","83,362","744,301",12.94,"273,316",4.15,6.44,
48,SK스퀘어,"58,700","1,700",+2.98%,100,"83,041","141,468",38.18,"1,491,922",N/A,N/A,
49,현대중공업,"92,600","1,100",+1.20%,"5,000","82,204","88,773",1.69,"255,577",-10.11,-7.86,
50,LG디스플레이,"22,350",50,+0.22%,"5,000","79,972","357,816",16.91,"904,585",5.06,-0.79,
